geneSet,NES,FDR,Function,Datatype
GO:0019755,-1.400375623,0.1953573959396712,GO,FP254CTCdt
GO:0060759,1.3342942336486987,0.19677257856890407,GO,FP254CTCdt
GO:0042330,-1.396003078,0.19927696514449295,GO,FP254CTCdt
GO:1990778,1.3286834907994538,0.20293292369217072,GO,FP254CTCdt
GO:0006090,-1.390154976,0.20403364472693655,GO,FP254CTCdt
GO:0006457,-1.383232743,0.20535394184053596,GO,FP254CTCdt
GO:0018958,-1.390546078,0.20577698098461095,GO,FP254CTCdt
GO:0007588,-1.385990646,0.20580115928196763,GO,FP254CTCdt
GO:1903317,-1.371718049,0.20583684721051765,GO,FP254CTCdt
GO:0052547,-1.384160832,0.2063113008661112,GO,FP254CTCdt
GO:1903034,-1.371992599,0.20753714388741482,GO,FP254CTCdt
GO:1990845,-1.38630427,0.20768535508821628,GO,FP254CTCdt
GO:0055070,-1.379975643,0.2080142819574903,GO,FP254CTCdt
GO:1901657,-1.37430942,0.20824228368018494,GO,FP254CTCdt
GO:0050878,-1.375115317,0.20898981082354395,GO,FP254CTCdt
GO:0009451,-1.372168372,0.2094099275347363,GO,FP254CTCdt
GO:0051235,-1.375497958,0.21052905617789727,GO,FP254CTCdt
GO:0043605,-1.37626729,0.21163765573167695,GO,FP254CTCdt
GO:0001578,1.3177584892659902,0.21303140541704219,GO,FP254CTCdt
GO:0034762,1.3165193680428486,0.21313370513731017,GO,FP254CTCdt
GO:0050951,1.3153917890497113,0.21316326549533876,GO,FP254CTCdt
GO:0032613,-1.363552502,0.2138648141789215,GO,FP254CTCdt
GO:0003205,1.3178989632699638,0.21459088157978937,GO,FP254CTCdt
GO:0016053,-1.364565085,0.2146076656063752,GO,FP254CTCdt
GO:0090130,-1.358848806,0.21497169469760316,GO,FP254CTCdt
GO:0045445,1.3187220573006717,0.21518492821003168,GO,FP254CTCdt
GO:0062197,-1.361369366,0.2151968584912985,GO,FP254CTCdt
GO:0060191,-1.359765613,0.21549048761463499,GO,FP254CTCdt
GO:0009581,1.3123831136248734,0.21565930533001332,GO,FP254CTCdt
GO:0050879,1.3111216773496226,0.21588942231014968,GO,FP254CTCdt
GO:1990868,1.3050977028897337,0.21618001695938852,GO,FP254CTCdt
GO:0090287,1.3067083257033814,0.21708139175981483,GO,FP254CTCdt
GO:0031346,1.3054169216694187,0.21736093880559437,GO,FP254CTCdt
GO:0022407,1.3069521515853717,0.21856343764969946,GO,FP254CTCdt
GO:0140253,1.3078865583129466,0.2188323329477744,GO,FP254CTCdt
GO:1901568,-1.355082345,0.21892126743730192,GO,FP254CTCdt
GO:0016049,1.2934584819375514,0.22110674373266406,GO,FP254CTCdt
GO:0035150,-1.348914766,0.22122536214066532,GO,FP254CTCdt
GO:0006414,-1.347469436,0.2215381741134079,GO,FP254CTCdt
GO:0007162,1.2938042845644109,0.22216659794717233,GO,FP254CTCdt
GO:0042060,-1.350627499,0.2224656361460115,GO,FP254CTCdt
GO:0006631,-1.345456013,0.22259418297397618,GO,FP254CTCdt
GO:0034405,1.2946645862974226,0.22262763486525253,GO,FP254CTCdt
GO:0003012,1.2982377052173157,0.2227183445062977,GO,FP254CTCdt
GO:1901264,1.2956697583787349,0.222889186,GO,FP254CTCdt
GO:0006413,-1.349020745,0.22308496695775676,GO,FP254CTCdt
GO:0009582,1.2965677142843752,0.22323132441317808,GO,FP254CTCdt
GO:0097305,-1.343857116,0.22323225541670366,GO,FP254CTCdt
GO:0007622,1.2983691596221565,0.2241870352838349,GO,FP254CTCdt
GO:0019748,-1.350757955,0.2243424377726271,GO,FP254CTCdt
GO:0007272,1.2900895026374384,0.22434442840886001,GO,FP254CTCdt
GO:0140962,-1.340377409,0.22476371692109096,GO,FP254CTCdt
GO:0002532,-1.340844388,0.22606577290896174,GO,FP254CTCdt
GO:0090596,1.2875668266732274,0.22622637327805314,GO,FP254CTCdt
GO:0036344,1.2806997241272868,0.22647330338866165,GO,FP254CTCdt
GO:0045444,1.2813149658673524,0.22711732059650955,GO,FP254CTCdt
GO:0010038,-1.336545112,0.22713468423902464,GO,FP254CTCdt
GO:0006814,1.2818866510602824,0.2277195305188302,GO,FP254CTCdt
GO:0007204,-1.3371113,0.22815514441459128,GO,FP254CTCdt
GO:0031279,1.285069188314704,0.2282059822894546,GO,FP254CTCdt
GO:0043062,-1.332026557,0.22906564717086061,GO,FP254CTCdt
