"ensembl_id","Oligodendrocytes"
"ENSG00000169193",6.819632643
"ENSG00000163006",6.240717078
"ENSG00000198865",6.208061111
"ENSG00000183401",11.27056303
"ENSG00000198937",28.42363468
"ENSG00000180329",8.127231013
"ENSG00000108588",17.82909584
"ENSG00000120860",32.46805851
"ENSG00000133773",11.19358937
"ENSG00000216937",14.30322589
"ENSG00000149231",22.84589448
"ENSG00000115355",82.42937171
"ENSG00000137500",14.76875355
"ENSG00000134057",2.725083898
"ENSG00000175305",11.03080318
"ENSG00000129315",10.66546781
"ENSG00000103540",49.77859981
"ENSG00000115484",34.86650626
"ENSG00000122674",10.78497486
"ENSG00000012124",26.86176073
"ENSG00000169217",7.22661646
"ENSG00000010278",150.4802494
"ENSG00000081377",22.98835496
"ENSG00000143776",50.6590134
"ENSG00000158985",38.96290845
"ENSG00000039068",7.134697229
"ENSG00000071991",32.24433602
"ENSG00000059758",27.73779572
"ENSG00000117266",36.62809158
"ENSG00000155111",47.64277725
"ENSG00000135446",9.262811442
"ENSG00000136861",12.65456504
"ENSG00000105810",15.52502515
"ENSG00000100490",7.174635276
"ENSG00000129757",32.4049298
"ENSG00000143126",6.413785742
"ENSG00000031691",7.584390452
"ENSG00000164118",7.282563743
"ENSG00000130695",6.529313471
"ENSG00000182504",22.75131666
"ENSG00000134255",7.920678811
"ENSG00000167123",155.3936941
"ENSG00000143418",33.03965099
"ENSG00000090661",15.81778013
"ENSG00000153140",11.01849248
"ENSG00000165410",109.6034697
"ENSG00000163528",8.80236967
"ENSG00000204116",10.00116321
"ENSG00000083937",17.53441716
"ENSG00000106069",32.9965225
"ENSG00000110172",10.83500118
"ENSG00000160679",20.49215134
"ENSG00000213341",7.210741938
"ENSG00000258289",11.05473004
"ENSG00000005194",8.887652112
"ENSG00000100865",8.78884804
"ENSG00000163539",73.00545892
"ENSG00000109572",28.46402345
"ENSG00000073464",16.92842735
"ENSG00000013297",181.2018254
"ENSG00000080822",524.1508953
"ENSG00000115295",25.57375719
"ENSG00000013441",121.0530987
"ENSG00000165959",26.68440567
"ENSG00000074201",25.03116812
"ENSG00000172409",3.318771697
"ENSG00000166855",11.34625844
"ENSG00000079101",2.211252642
"ENSG00000103121",43.13886546
"ENSG00000162368",15.48490806
"ENSG00000166091",31.2080569
"ENSG00000150656",136.1134135
"ENSG00000148842",4.650979808
"ENSG00000168763",9.966599543
"ENSG00000184144",60.62916658
"ENSG00000152910",88.64648617
"ENSG00000106078",26.67202068
"ENSG00000260371",16.86065393
"ENSG00000188153",43.21319625
"ENSG00000112280",3.581989691
"ENSG00000049089",43.94151797
"ENSG00000092758",17.8269116
"ENSG00000122218",39.15905193
"ENSG00000105669",18.00377492
"ENSG00000166200",17.87795246
"ENSG00000121022",15.81792222
"ENSG00000110880",22.92534802
"ENSG00000103647",24.33998658
"ENSG00000166260",8.120703532
"ENSG00000214575",7.830918069
"ENSG00000137449",24.71251613
"ENSG00000135678",24.16391844
"ENSG00000140848",14.01958152
"ENSG00000080819",33.25953597
"ENSG00000103381",21.10787874
"ENSG00000165934",10.21644378
"ENSG00000119203",10.84418461
"ENSG00000169372",24.23187084
"ENSG00000146592",61.19476055
"ENSG00000137504",25.20313001
"ENSG00000165475",47.46872775
"ENSG00000124207",34.56778657
"ENSG00000169826",20.53091961
"ENSG00000149474",5.83843269
"ENSG00000177613",7.14582522
"ENSG00000044115",34.0138203
"ENSG00000183230",176.5998902
"ENSG00000047230",6.59684014
"ENSG00000077063",40.92476661
"ENSG00000119929",31.00389368
"ENSG00000154639",43.90757921
"ENSG00000185753",9.798074144
"ENSG00000147231",5.448302744
"ENSG00000171604",14.72478191
"ENSG00000083799",13.33305459
"ENSG00000135929",28.42054799
"ENSG00000108669",14.30613075
"ENSG00000146122",50.50290164
"ENSG00000197380",8.728896462
"ENSG00000163331",2.583351803
"ENSG00000138231",4.728731197
"ENSG00000163257",11.77401997
"ENSG00000115827",6.367358076
"ENSG00000175203",23.51021104
"ENSG00000104671",34.71241671
"ENSG00000088205",22.28168595
"ENSG00000174243",5.572756998
"ENSG00000143753",44.05521584
"ENSG00000184014",31.86517123
"ENSG00000155792",33.33868872
"ENSG00000160049",2.75990581
"ENSG00000116133",26.21123175
"ENSG00000172893",10.45811858
"ENSG00000178700",6.631134539
"ENSG00000157379",4.284900201
"ENSG00000102796",4.661144041
"ENSG00000100697",38.24811068
"ENSG00000086189",14.49423089
"ENSG00000066084",47.54686527
"ENSG00000151240",26.65455609
"ENSG00000144535",8.390614469
"ENSG00000075711",77.1277445
"ENSG00000150672",144.376452
"ENSG00000135164",27.13367468
"ENSG00000172869",12.82941957
"ENSG00000135924",26.90122054
"ENSG00000170464",12.79121042
"ENSG00000168724",8.166505367
"ENSG00000116675",77.60760577
"ENSG00000197959",91.52430045
"ENSG00000150760",33.70627499
"ENSG00000135905",80.79931512
"ENSG00000147459",39.01107848
"ENSG00000167130",5.826310403
"ENSG00000133884",9.56821678
"ENSG00000117543",7.650903428
"ENSG00000162961",24.43546706
"ENSG00000188641",86.43314492
"ENSG00000092964",324.6030096
"ENSG00000110042",7.009743162
"ENSG00000143507",34.73677938
"ENSG00000111266",29.5050223
"ENSG00000167065",4.162190496
"ENSG00000141627",29.36860001
"ENSG00000077380",60.87081077
"ENSG00000135720",58.82753187
"ENSG00000169016",4.319165322
"ENSG00000103356",2.218024805
"ENSG00000093144",16.95828541
"ENSG00000164176",255.4054249
"ENSG00000115468",56.4878562
"ENSG00000100842",20.97374213
"ENSG00000111361",11.32823709
"ENSG00000104131",20.62636377
"ENSG00000196361",17.25535427
"ENSG00000109381",23.01648446
"ENSG00000179387",3.873604393
"ENSG00000066322",52.18290849
"ENSG00000154380",15.17618735
"ENSG00000145293",51.68700897
"ENSG00000132199",16.99767056
"ENSG00000120658",88.98418044
"ENSG00000165675",19.868782
"ENSG00000136960",192.8465712
"ENSG00000001561",46.57990333
"ENSG00000164303",9.450024945
"ENSG00000072134",23.13367478
"ENSG00000085832",42.35359749
"ENSG00000112851",81.51750149
"ENSG00000065361",32.00342419
"ENSG00000136541",275.042497
"ENSG00000099219",15.37885753
"ENSG00000067208",19.6839681
"ENSG00000070367",10.92350158
"ENSG00000144036",45.03485119
"ENSG00000116903",5.694020387
"ENSG00000157036",8.532448326
"ENSG00000103089",67.42220344
"ENSG00000149485",19.08690379
"ENSG00000185104",41.45703639
"ENSG00000158234",6.951608736
"ENSG00000167106",16.53356779
"ENSG00000182518",9.945185502
"ENSG00000065809",75.44701032
"ENSG00000184083",6.604558427
"ENSG00000150510",28.68248841
"ENSG00000122591",20.05404767
"ENSG00000203950",35.35172822
"ENSG00000159784",6.365859253
"ENSG00000154153",51.58171168
"ENSG00000031003",26.6189352
"ENSG00000148541",34.73677082
"ENSG00000138286",7.027072028
"ENSG00000151327",15.57306795
"ENSG00000198718",14.96902357
"ENSG00000148481",22.75401795
"ENSG00000172775",19.50445328
"ENSG00000188916",9.214653598
"ENSG00000204767",13.43542382
"ENSG00000237765",15.24665002
"ENSG00000163946",15.90791169
"ENSG00000177150",9.780243677
"ENSG00000071859",19.96100904
"ENSG00000154511",68.26359326
"ENSG00000180488",17.65836124
"ENSG00000009780",27.69342851
"ENSG00000171262",4.400888831
"ENSG00000198690",8.096964223
"ENSG00000181544",6.293645303
"ENSG00000115392",54.77740051
"ENSG00000197601",45.98712296
"ENSG00000006607",5.443741485
"ENSG00000124279",9.009885098
"ENSG00000166147",7.273913589
"ENSG00000112234",9.470688638
"ENSG00000118564",45.59171832
"ENSG00000141665",2.488963864
"ENSG00000156804",18.98712586
"ENSG00000174013",4.430044681
"ENSG00000100225",35.68904652
"ENSG00000066926",14.2053551
"ENSG00000149557",120.7378736
"ENSG00000113578",63.66696778
"ENSG00000111790",27.10927128
"ENSG00000112367",13.96284653
"ENSG00000132436",3.045659365
"ENSG00000214253",74.79842987
"ENSG00000004478",11.32478229
"ENSG00000106692",8.18077653
"ENSG00000157827",209.2728527
"ENSG00000102081",14.15474131
"ENSG00000168522",20.37190814
"ENSG00000086205",81.35539306
"ENSG00000133393",15.06244045
"ENSG00000141568",8.50639913
"ENSG00000170802",51.83437146
"ENSG00000114541",63.47177807
"ENSG00000171877",176.6396633
"ENSG00000075539",47.90779315
"ENSG00000106701",8.620065954
"ENSG00000107164",8.590575776
"ENSG00000033170",81.28887075
"ENSG00000114416",14.99944445
"ENSG00000109458",51.39226219
"ENSG00000143458",7.475489399
"ENSG00000054983",17.37557128
"ENSG00000156958",14.92516556
"ENSG00000144278",33.89731391
"ENSG00000109586",10.15975592
"ENSG00000214013",8.905261308
"ENSG00000007237",24.7649877
"ENSG00000157259",28.79513628
"ENSG00000171766",51.6563679
"ENSG00000160844",61.60520906
"ENSG00000115271",35.96525288
"ENSG00000005436",13.05356119
"ENSG00000001084",15.2669602
"ENSG00000140905",11.67601767
"ENSG00000006007",23.53029571
"ENSG00000057608",35.85151672
"ENSG00000092208",6.528525824
"ENSG00000204120",10.431998
"ENSG00000175066",11.39657846
"ENSG00000186417",65.33175935
"ENSG00000122694",10.67655044
"ENSG00000139433",76.92486847
"ENSG00000163655",6.611946577
"ENSG00000127955",88.70243526
"ENSG00000087258",30.51248834
"ENSG00000128266",11.30974668
"ENSG00000159921",7.313905372
"ENSG00000116906",17.08031297
"ENSG00000090581",18.46187574
"ENSG00000147533",129.2112866
"ENSG00000115806",13.3964712
"ENSG00000062194",45.37424251
"ENSG00000046653",370.7626406
"ENSG00000198522",8.934718005
"ENSG00000136235",20.18703348
"ENSG00000170775",111.1443663
"ENSG00000167191",111.4568205
"ENSG00000121957",19.6529371
"ENSG00000141449",8.735574706
"ENSG00000166923",14.15845508
"ENSG00000137106",17.31107537
"ENSG00000182771",34.32980679
"ENSG00000148180",38.22881501
"ENSG00000065621",4.335933085
"ENSG00000121964",20.16388471
"ENSG00000140307",20.30391946
"ENSG00000153767",9.859587675
"ENSG00000188342",23.81492089
"ENSG00000196275",3.245117468
"ENSG00000119041",9.204260552
"ENSG00000148308",11.33886452
"ENSG00000151806",10.51018272
"ENSG00000188486",9.407866448
"ENSG00000132702",63.68488651
"ENSG00000112339",25.29520796
"ENSG00000111727",11.76194699
"ENSG00000163517",12.0704611
"ENSG00000068024",6.227576162
"ENSG00000167220",12.81379098
"ENSG00000013583",12.33744294
"ENSG00000092148",19.35591795
"ENSG00000138411",20.36516067
"ENSG00000164161",33.1445059
"ENSG00000106049",33.27526736
"ENSG00000111911",19.4468727
"ENSG00000064393",55.71425613
"ENSG00000159267",10.18160865
"ENSG00000117305",4.649010314
"ENSG00000198830",36.75633646
"ENSG00000100281",12.99952917
"ENSG00000103415",17.58489529
"ENSG00000206053",5.541402607
"ENSG00000096746",49.16230047
"ENSG00000165119",42.32708463
"ENSG00000125944",21.23307014
