"ensembl_id","Microglia"
"ENSG00000111269",27.07690124
"ENSG00000143162",70.06089256
"ENSG00000095794",39.28005007
"ENSG00000179979",4.666835374
"ENSG00000167193",14.37129791
"ENSG00000176390",28.1386588
"ENSG00000101343",11.31572413
"ENSG00000005469",5.409589861
"ENSG00000160741",12.09365655
"ENSG00000182578",157.7004874
"ENSG00000113712",43.71800625
"ENSG00000141551",10.06206288
"ENSG00000169118",5.180106782
"ENSG00000070770",9.087986603
"ENSG00000101138",6.828052284
"ENSG00000150527",11.08614872
"ENSG00000159692",10.40605978
"ENSG00000175029",21.70650522
"ENSG00000102974",20.17195163
"ENSG00000137770",9.094171463
"ENSG00000178585",13.90089362
"ENSG00000198561",20.44012913
"ENSG00000040531",9.811428502
"ENSG00000164733",130.3262867
"ENSG00000109861",34.29090883
"ENSG00000163131",52.98383524
"ENSG00000101160",24.50910981
"ENSG00000143079",48.76675505
"ENSG00000055130",33.66529479
"ENSG00000108094",13.31307951
"ENSG00000036257",16.22122771
"ENSG00000166266",26.04830021
"ENSG00000108296",11.73225556
"ENSG00000095485",7.661250637
"ENSG00000152404",36.76941684
"ENSG00000197620",3.617315302
"ENSG00000197021",12.55896485
"ENSG00000159348",14.11451937
"ENSG00000065615",7.609767817
"ENSG00000068793",72.37805177
"ENSG00000106258",1.867966728
"ENSG00000164535",32.26349589
"ENSG00000112977",9.799086455
"ENSG00000132676",23.93811983
"ENSG00000117593",8.637315219
"ENSG00000071626",5.282083258
"ENSG00000155368",145.3665002
"ENSG00000136279",3.848800178
"ENSG00000122741",11.98799279
"ENSG00000164934",10.30778428
"ENSG00000119599",2.734740604
"ENSG00000156136",9.598483791
"ENSG00000152457",21.18696964
"ENSG00000151065",8.853146671
"ENSG00000172795",15.027151
"ENSG00000129187",22.39827348
"ENSG00000132912",18.2994728
"ENSG00000166847",8.747808025
"ENSG00000134574",19.82569364
"ENSG00000064703",5.453490239
"ENSG00000165732",23.43472673
"ENSG00000124228",9.330666589
"ENSG00000123136",19.98750918
"ENSG00000215301",80.94589224
"ENSG00000183258",6.659202254
"ENSG00000198231",14.05959855
"ENSG00000145833",17.7843949
"ENSG00000107625",25.83865677
"ENSG00000185163",4.259443107
"ENSG00000141141",5.812645888
"ENSG00000136271",8.782461899
"ENSG00000118197",8.212503947
"ENSG00000160570",7.674804307
"ENSG00000023892",16.42692875
"ENSG00000213047",6.881019375
"ENSG00000105339",13.56964217
"ENSG00000174485",27.5806476
"ENSG00000198837",8.453943613
"ENSG00000139726",17.639189
"ENSG00000100150",4.875357938
"ENSG00000072849",9.22784832
"ENSG00000105928",5.343365077
"ENSG00000065357",8.266284865
"ENSG00000162496",26.54612773
"ENSG00000187630",6.582069723
"ENSG00000100612",52.69396711
"ENSG00000005100",6.820524617
"ENSG00000134815",5.791700362
"ENSG00000101452",7.082337371
"ENSG00000067596",4.810573111
"ENSG00000135829",29.99653683
"ENSG00000147202",62.6092282
"ENSG00000117597",2.983405842
"ENSG00000160305",22.23046924
"ENSG00000162946",19.53750956
"ENSG00000130826",18.46661936
"ENSG00000176124",9.161198066
"ENSG00000186047",18.15540417
"ENSG00000119689",7.286286575
"ENSG00000165506",7.833930766
"ENSG00000090520",21.53703794
"ENSG00000105993",22.99912109
"ENSG00000077232",20.85247433
"ENSG00000007923",7.490832299
"ENSG00000138246",17.53402654
"ENSG00000116138",12.19662338
"ENSG00000105821",14.056547
"ENSG00000170946",5.797940767
"ENSG00000101152",15.52334913
"ENSG00000213551",14.33180565
"ENSG00000119661",4.241371446
"ENSG00000105612",7.930611009
"ENSG00000130816",6.058404882
"ENSG00000119772",13.72339834
"ENSG00000101457",16.14764045
"ENSG00000147251",26.42147135
"ENSG00000134516",31.32394922
"ENSG00000128512",168.4899715
"ENSG00000107099",67.33281497
"ENSG00000146094",6.314614646
"ENSG00000172269",9.22459785
"ENSG00000132768",8.131455033
"ENSG00000000419",55.91058418
"ENSG00000197635",6.111806154
"ENSG00000117505",9.692934538
"ENSG00000156171",32.83525661
"ENSG00000185721",27.68204456
"ENSG00000134755",3.195713642
"ENSG00000149636",6.937660092
"ENSG00000138101",24.1485458
"ENSG00000047579",17.17798346
"ENSG00000144048",9.185343608
"ENSG00000161326",13.8549763
"ENSG00000158050",5.255476027
"ENSG00000112679",8.699551556
"ENSG00000188542",4.857670093
"ENSG00000108861",12.30136402
"ENSG00000120875",3.353089151
"ENSG00000139318",97.92146626
"ENSG00000157540",17.91109866
"ENSG00000127334",8.710448306
"ENSG00000112242",17.84227404
"ENSG00000122882",17.76314053
"ENSG00000179151",9.710010272
"ENSG00000134109",26.50582047
"ENSG00000102189",16.4097559
"ENSG00000074266",10.38492232
"ENSG00000122547",17.42634875
"ENSG00000108883",7.517869075
"ENSG00000122877",114.9342085
"ENSG00000179388",28.67541878
"ENSG00000086232",12.77032817
"ENSG00000172071",14.18759546
"ENSG00000128829",6.716776693
"ENSG00000070785",28.65889782
"ENSG00000125977",24.56389466
"ENSG00000130741",46.03883826
"ENSG00000107581",27.37528616
"ENSG00000104408",25.33362601
"ENSG00000175390",8.047174678
"ENSG00000130811",13.27409284
"ENSG00000100129",38.04470422
"ENSG00000149100",27.92716808
"ENSG00000141543",38.15615712
"ENSG00000151247",29.00926558
"ENSG00000075151",57.62847601
"ENSG00000100664",55.19487037
"ENSG00000120690",89.65618236
"ENSG00000126767",2.554061303
"ENSG00000111145",19.70843832
"ENSG00000118985",81.44255744
"ENSG00000155849",75.99696274
"ENSG00000130165",8.717324565
"ENSG00000134014",9.999029547
"ENSG00000170571",30.70566468
"ENSG00000143924",42.61178888
"ENSG00000197594",12.42752405
"ENSG00000138185",29.26365789
"ENSG00000197217",15.54406606
"ENSG00000187097",2.477545843
"ENSG00000100393",19.32455214
"ENSG00000079819",126.4242146
"ENSG00000082397",24.56093095
"ENSG00000135999",12.88666122
"ENSG00000152223",5.168586032
"ENSG00000164307",9.020474738
"ENSG00000087502",22.28271417
"ENSG00000104714",8.929169681
"ENSG00000107566",5.305552611
"ENSG00000164010",18.04337703
"ENSG00000089248",18.46403172
"ENSG00000141446",35.10060775
"ENSG00000089048",28.98243797
"ENSG00000143971",9.199225031
"ENSG00000120705",57.61035144
"ENSG00000139163",37.11929312
"ENSG00000157557",59.70281562
"ENSG00000117036",8.603332018
"ENSG00000244405",33.39273165
"ENSG00000139083",43.36446302
"ENSG00000196405",29.90839652
"ENSG00000180104",5.869333318
"ENSG00000131558",28.20610647
"ENSG00000171311",9.148978978
"ENSG00000130713",7.070242252
"ENSG00000123737",9.026852271
"ENSG00000151348",10.98883647
"ENSG00000012232",3.377227517
"ENSG00000197932",6.888502315
"ENSG00000170231",4.788703236
"ENSG00000180185",7.335596497
"ENSG00000162636",17.51416507
"ENSG00000145569",60.19183781
"ENSG00000197712",16.78346538
"ENSG00000100376",32.32996963
"ENSG00000048828",23.54304743
"ENSG00000156504",13.06553547
"ENSG00000135842",5.348908249
"ENSG00000234545",17.34024526
"ENSG00000082269",29.46126956
"ENSG00000035141",8.436703289
"ENSG00000138640",12.73538562
"ENSG00000109794",30.67384391
"ENSG00000113391",50.43367407
"ENSG00000163322",8.947336344
"ENSG00000222011",17.93909832
"ENSG00000125386",14.16740952
"ENSG00000146067",13.83486826
"ENSG00000164125",17.85739358
"ENSG00000221909",12.86450823
"ENSG00000108021",23.55951304
"ENSG00000197852",4.075136194
"ENSG00000157870",3.198965211
"ENSG00000112773",31.73030677
"ENSG00000153310",51.54166796
"ENSG00000120709",13.45289183
"ENSG00000167695",3.453427944
"ENSG00000137414",14.77260798
"ENSG00000176853",13.6212607
"ENSG00000166797",47.7484833
"ENSG00000187790",4.68543671
"ENSG00000064763",25.16020315
"ENSG00000145982",47.11746451
"ENSG00000127452",11.81935214
"ENSG00000138081",41.43580668
"ENSG00000134452",7.180619744
"ENSG00000143756",10.03580474
"ENSG00000118496",7.418546281
"ENSG00000145868",11.27332481
"ENSG00000037637",11.1209435
"ENSG00000072803",24.32669003
"ENSG00000119402",5.069055129
"ENSG00000107829",10.40113121
"ENSG00000174989",7.430736046
"ENSG00000119616",7.820880689
"ENSG00000137478",92.37505133
"ENSG00000137714",12.98966426
"ENSG00000151422",23.90346338
"ENSG00000149781",6.29714638
"ENSG00000139132",54.08563934
"ENSG00000174721",2.43515189
"ENSG00000135723",5.965062955
"ENSG00000168386",15.17516742
"ENSG00000119321",12.80015815
