"ensembl_id","Astrocytes"
"ENSG00000151023",8.476159763
"ENSG00000074800",129.0033048
"ENSG00000197586",9.998331269
"ENSG00000115109",9.892650665
"ENSG00000154928",27.54276865
"ENSG00000143819",47.0128659
"ENSG00000120915",12.62649446
"ENSG00000112425",11.58770576
"ENSG00000187266",14.92677085
"ENSG00000136628",26.53712017
"ENSG00000127527",10.85268452
"ENSG00000132591",16.33841083
"ENSG00000141736",2.386584972
"ENSG00000104626",6.030324026
"ENSG00000196678",7.86363962
"ENSG00000117419",31.37646623
"ENSG00000068912",36.73244242
"ENSG00000147475",8.639331948
"ENSG00000196482",22.90573214
"ENSG00000140374",22.87303888
"ENSG00000171503",24.70654382
"ENSG00000006468",11.13559392
"ENSG00000182944",19.98747748
"ENSG00000081177",12.08036082
"ENSG00000090989",34.28597792
"ENSG00000182473",7.273689524
"ENSG00000171824",20.88691793
"ENSG00000104313",20.51206195
"ENSG00000108799",19.83936118
"ENSG00000092820",136.353439
"ENSG00000117525",290.7822938
"ENSG00000185010",3.393122206
"ENSG00000164687",14.61131174
"ENSG00000164434",38.29547997
"ENSG00000134824",15.50003985
"ENSG00000113194",13.28663157
"ENSG00000103876",5.117586192
"ENSG00000115042",6.334323608
"ENSG00000144199",10.6334064
"ENSG00000168309",146.5116442
"ENSG00000197798",14.67231804
"ENSG00000051009",8.578361894
"ENSG00000170264",8.50426417
"ENSG00000114023",20.81442134
"ENSG00000054965",19.31218612
"ENSG00000148468",66.3980082
"ENSG00000144369",120.8612486
"ENSG00000150756",15.48585393
"ENSG00000111879",64.22012338
"ENSG00000135063",69.71653294
"ENSG00000123575",13.25382
"ENSG00000219438",22.8681945
"ENSG00000165669",15.61376429
"ENSG00000119328",22.53062131
"ENSG00000124098",7.133065764
"ENSG00000122378",46.45095191
"ENSG00000047346",14.45663701
"ENSG00000005238",4.617817984
"ENSG00000196227",26.06885334
"ENSG00000122376",9.059076571
"ENSG00000187773",12.58193661
"ENSG00000188343",9.549047186
"ENSG00000203780",5.50860975
"ENSG00000152767",9.611146945
"ENSG00000083857",13.66576519
"ENSG00000165323",15.76946921
"ENSG00000171823",4.93956349
"ENSG00000005812",16.97333058
"ENSG00000183580",112.277197
"ENSG00000116661",28.07504479
"ENSG00000153832",9.922440755
"ENSG00000079459",42.9291966
"ENSG00000160752",31.17135923
"ENSG00000073712",38.92955841
"ENSG00000153266",7.550523178
"ENSG00000180263",19.11596471
"ENSG00000138685",27.06577211
"ENSG00000077782",8.816543932
"ENSG00000066468",64.59167705
"ENSG00000068078",151.309636
"ENSG00000127418",10.5360424
"ENSG00000172456",13.62445767
"ENSG00000198855",3.196875743
"ENSG00000182263",14.74585838
"ENSG00000179431",8.071145708
"ENSG00000106080",4.421426888
"ENSG00000122642",23.32310562
"ENSG00000185070",39.15824083
"ENSG00000155816",66.71364738
"ENSG00000167363",3.756900676
"ENSG00000187239",80.46604758
"ENSG00000176165",65.16918466
"ENSG00000150907",39.95053998
"ENSG00000100350",7.299665422
"ENSG00000150893",5.898260968
"ENSG00000166225",22.36618631
"ENSG00000167996",852.1676868
"ENSG00000172728",15.95102523
"ENSG00000172461",55.55065538
"ENSG00000010810",63.04876318
"ENSG00000151834",57.34576581
"ENSG00000163288",215.9215522
"ENSG00000163285",33.94296205
"ENSG00000258728",58.18038375
"ENSG00000136895",18.77289046
"ENSG00000185340",8.35032793
"ENSG00000257218",16.69436251
"ENSG00000239282",15.38561327
"ENSG00000070610",15.75217139
"ENSG00000146729",30.0963844
