"ensembl_id","Neurons"
"ENSG00000118432",62.50192755
"ENSG00000119865",39.52181453
"ENSG00000018236",82.97883322
"ENSG00000113805",36.99765761
"ENSG00000144619",46.70200675
"ENSG00000149972",60.07589801
"ENSG00000134115",8.085153232
"ENSG00000108797",9.346225426
"ENSG00000174469",241.0273129
"ENSG00000155052",57.26188188
"ENSG00000100473",12.00841581
"ENSG00000166685",9.5048692
"ENSG00000133103",11.23615584
"ENSG00000124749",7.526125476
"ENSG00000188517",7.093675222
"ENSG00000206561",6.542224936
"ENSG00000149600",21.57365257
"ENSG00000110442",9.564067641
"ENSG00000141030",24.35582086
"ENSG00000138663",28.60453443
"ENSG00000168090",32.80149597
"ENSG00000111652",17.11599406
"ENSG00000198612",24.99332203
"ENSG00000111481",11.47546009
"ENSG00000132423",16.66769287
"ENSG00000119723",4.135567547
"ENSG00000167549",27.31754054
"ENSG00000178741",70.71197948
"ENSG00000126267",160.273968
"ENSG00000164919",94.58402805
"ENSG00000115944",31.30363692
"ENSG00000131174",73.46980619
"ENSG00000127184",254.5944715
"ENSG00000145920",14.41431854
"ENSG00000196353",21.72044532
"ENSG00000124772",10.1022355
"ENSG00000169169",10.07008917
"ENSG00000113851",25.39374243
"ENSG00000175874",27.77691861
"ENSG00000147571",39.52493237
"ENSG00000145708",13.82038751
"ENSG00000088766",7.886746991
"ENSG00000072832",17.78259616
"ENSG00000095713",8.394662235
"ENSG00000103316",29.48024128
"ENSG00000139631",18.80067906
"ENSG00000183117",103.8211776
"ENSG00000164796",28.0995646
"ENSG00000104218",19.49101194
"ENSG00000110925",14.30180756
"ENSG00000178662",30.91909458
"ENSG00000101811",11.70456681
"ENSG00000176102",54.55832582
"ENSG00000119326",31.72184534
"ENSG00000107874",32.350441
"ENSG00000153015",25.60393626
"ENSG00000145824",288.0264255
"ENSG00000168772",9.031143898
"ENSG00000008283",6.14900299
"ENSG00000172115",52.86713598
"ENSG00000055163",33.74606406
"ENSG00000138115",4.440079015
"ENSG00000130649",1.728331996
"ENSG00000186377",23.91309201
"ENSG00000173406",44.51783576
"ENSG00000126733",3.913103223
"ENSG00000143164",23.94162175
"ENSG00000187323",27.61248361
"ENSG00000133083",61.02054235
"ENSG00000198924",2.449405216
"ENSG00000137692",30.17294668
"ENSG00000077279",9.631218874
"ENSG00000085788",10.75932939
"ENSG00000198171",32.71876936
"ENSG00000079785",39.34538035
"ENSG00000178105",11.33305403
"ENSG00000089737",48.66287655
"ENSG00000109832",13.48025237
"ENSG00000177030",8.335675863
"ENSG00000170456",16.33067068
"ENSG00000070413",9.080839117
"ENSG00000136267",44.23782455
"ENSG00000157680",17.25960516
"ENSG00000114956",35.8417517
"ENSG00000117682",7.885824533
"ENSG00000095059",14.78205861
"ENSG00000174953",17.00753248
"ENSG00000176490",13.59727284
"ENSG00000165023",35.47273075
"ENSG00000162595",18.32257975
"ENSG00000082458",6.522552786
"ENSG00000170579",117.3330896
"ENSG00000198010",13.1007718
"ENSG00000144355",18.64609251
"ENSG00000115844",3.27579808
"ENSG00000105880",7.469822789
"ENSG00000006377",5.756260151
"ENSG00000198947",35.10774887
"ENSG00000104093",19.08620008
"ENSG00000115423",4.300491957
"ENSG00000069345",21.70459716
"ENSG00000140403",15.97316761
"ENSG00000164031",12.59614161
"ENSG00000108176",19.98816561
"ENSG00000205981",20.88424717
"ENSG00000187957",85.31457645
"ENSG00000106976",56.10483317
"ENSG00000087470",35.98706913
"ENSG00000149927",6.603712875
"ENSG00000206052",18.9612762
"ENSG00000083097",17.70513514
"ENSG00000166171",7.67290109
"ENSG00000136908",6.912573274
"ENSG00000130226",46.36419503
"ENSG00000173852",11.81786292
"ENSG00000177990",18.53830127
"ENSG00000102385",5.597314837
"ENSG00000171587",42.64504253
"ENSG00000133059",10.19473386
"ENSG00000104047",17.21944575
"ENSG00000081721",16.13455317
"ENSG00000133878",17.7629901
"ENSG00000197102",24.37290383
"ENSG00000158560",58.92465071
"ENSG00000144635",14.84452444
"ENSG00000088986",254.6816757
"ENSG00000125971",46.2874546
"ENSG00000089091",4.804063127
"ENSG00000134874",11.5119585
"ENSG00000198919",33.94237505
"ENSG00000144597",15.83145592
"ENSG00000129518",32.37469321
"ENSG00000117395",11.1080593
"ENSG00000147155",17.74753039
"ENSG00000186976",3.358018942
"ENSG00000203965",13.5495369
"ENSG00000184349",45.92322224
"ENSG00000108947",10.54561804
"ENSG00000132294",31.32990049
"ENSG00000198759",2.400142346
"ENSG00000013016",8.068999783
"ENSG00000255302",125.5370243
"ENSG00000176396",5.83501409
"ENSG00000176401",6.730914606
"ENSG00000173674",25.23659401
"ENSG00000114784",96.09702299
"ENSG00000145191",11.98916123
"ENSG00000156976",315.3708463
"ENSG00000163412",5.947887121
"ENSG00000107105",39.02802268
"ENSG00000162374",30.01556585
"ENSG00000110675",27.52752052
"ENSG00000118402",23.54352888
"ENSG00000170522",7.421645514
"ENSG00000134759",15.2308957
"ENSG00000165521",6.934883556
"ENSG00000214595",14.94061509
"ENSG00000171617",97.99154449
"ENSG00000112796",14.33223855
"ENSG00000168032",29.63834675
"ENSG00000120533",13.52660239
"ENSG00000088367",19.28521691
"ENSG00000095203",12.10974982
"ENSG00000086289",25.85307122
"ENSG00000116106",37.03306608
"ENSG00000145242",15.51243036
"ENSG00000080224",38.82602527
"ENSG00000135333",10.59401876
"ENSG00000172031",13.71787439
