symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IDUA	0.4138197170858619	0.6746058816866428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12192260609826444	No data	No data	No data	0	0	0	0	0	0	No data	0.5548814120242691	-0.9831317243525595	0	No data	No data	No data	-1	0
MINDY2	0.4089441505750756	0.670609200148011	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.041457503003792494	No data	No data	No data	0	0	0	0	0	0.11433000000000035	No data	0.08736900165471595	-0.5498696049048243	0	No data	No data	0	-1	-1
PILRA	0.42730596422903855	0.6694940286807006	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.667836716176087	No data	No data	No data	1	1	0	0	0	No data	No data	0.6258135686707116	-0.846445162482797	0	No data	No data	-0.05115499999999997	-1	-1
FERMT2	0.4230197555199671	0.6670746186711088	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5630270609813197	0.027423220861334467	No data	No data	0	0	0	0	0	0.9117649999999997	No data	-0.8829564258135687	No data	0	No data	No data	-0.07720500000000001	-1	0
ABI3	0.42679427564378686	0.6569798125625371	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9012872611666025	No data	No data	No data	0	0	0	0	0	0.2622950000000003	No data	0.25317153888582467	No data	0	No data	No data	0	0.5	0
CDH13	0.4096032432626903	0.6558411391755552	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3585018709363897	No data	No data	No data	1	0	0	0	0	0.6844299999999996	No data	-0.7340319911748483	-0.6675093321534098	0	-1	No data	0	0.5	0
MOB3B	0.3963097077011674	0.6518993761430579	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.907405	No data	-0.47964699393270827	No data	0	No data	No data	-0.5254625	0.5	0
ABCA1	0.4223188505923324	0.6487938781059298	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9177712627640162	No data	No data	1	1	0	0	0	0	0.7655900000000002	No data	-0.6174296745725317	-0.9513776976647986	0	No data	No data	0	-1	-1
ELOVL7	0.39480400841714075	0.6466712659725942	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.04151741033287864	No data	No data	0	0	0	0	0	0.4306049999999999	No data	0.124765581908439	No data	0	No data	No data	0	-1	0
ULK4	0.3951390149018024	0.6435144106578146	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1291852944924695	No data	No data	No data	0	0	0	0	0	0.16470500000000002	No data	-0.04445670159955872	-0.8605622388619805	0	No data	No data	0	0.5	0
