symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
GABRR2	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	1	0	0.5053750000000001	No data	0.06442360728075003	0	0	No data	No data	-0.30107500000000015	1	0
NLRP9	0.011436443281076606	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09406040396379804	No data	No data	No data	0	0	0	0	0	0	No data	0.44158852730281306	-0.6299956540786261	0	No data	No data	0	0.5	1
FAIM	0.007017978072935617	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.057720205165679724	No data	No data	No data	1	0	0	0	0	0.5273650000000003	No data	0.27313844456701597	-0.861471636871384	0	No data	No data	No data	1	-1
CCL23	0.025997966371273714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21382340287259646	No data	No data	No data	0	1	0	0	0	0	No data	0.6152233866519581	0	0	No data	No data	0	-1	0
GNG10	0.01570714382409983	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1291852944924695	No data	No data	No data	1	0	0	0	0	0.77941	No data	0.9659128516271374	No data	0	No data	No data	0	-1	-1
GADD45GIP1	0.07454220346848942	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6130813224247194	No data	No data	No data	0	0	0	0	0	0	No data	0.528295642581357	No data	0	No data	No data	No data	-1	-1
SEC61B	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.9479149999999997	No data	0.595146166574738	-0.05901705023956677	0	No data	No data	No data	-1	-1
FARSB	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	1	1	0	0.67742	No data	0.28383894098179807	No data	-1	No data	No data	0	-1	-1
ACAT1	0.054853896641861244	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4430377405696476	0.032458932708334075	No data	No data	0	0	0	0	1	0.20374499999999998	No data	-0.28979591836734697	0	0	No data	No data	0	0.5	-1
DNAJC12	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0	No data	0.37904026475455055	-0.022023425318627998	0	No data	No data	0	0.5	0
TRIM5	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0	No data	0.11913954771097623	0	0	No data	No data	0	-1	-1
POLR1D	0.004229636114724921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	No data	0	0	0	0	0	0.51128	No data	0.7555432984004413	-0.7638230316684208	-1	No data	No data	0	-1	-1
STX3	0.013099552627157762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1077388469100595	No data	No data	No data	0	0	0	0	0	0.3944650000000003	No data	-0.3694429123000551	-0.7609910359441496	0	No data	No data	-0.08304500000000008	1	-1
GPX3	0.05193882277743185	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41963233381737225	0.030179056589716233	No data	No data	0	1	0	0	0	0.4690249999999999	No data	0.6391616105901821	-0.7594382464467647	0	No data	No data	-0.20353999999999992	0.5	-1
INMT	0.00835661115870409	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06872995406331382	No data	No data	No data	0	0	1	1	0	0	No data	0.6614451185879757	0	0	No data	No data	0	0.5	0
CYP4F12	0.0029566388374776143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	0	0	1	0	0	No data	0.5162713734142306	-0.876995587656614	0	-1	No data	-0.5753824999999999	0.5	0
MAPK8	0.071912301626079	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5914513782539148	No data	No data	0.5	0	0	1	1	1	0.859485	1	-0.6520683949255378	-0.8840506881201778	0	No data	No data	-0.7716625	-1	-1
BAAT	0.0029566388374776143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	0	0	0	0	0	No data	0.1474903474903475	-0.21929867103040152	0	No data	No data	0	1	0.5
PLEKHA5	0.004619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	No data	No data	No data	0	0	0	0	0	0.32137499999999974	No data	-0.8277992277992278	-0.6076679369804328	0	No data	No data	0	-1	-1
MRPL9	0.008976193877954407	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07382578669495936	No data	No data	0	0	0	0	0	0.007489999999999952	No data	0.5692222835079979	No data	0	No data	No data	No data	-1	-1
LINC03041	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ATP6V0A4	0.011054521395137362	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0909192414545149	No data	No data	No data	0	0	0	0	0	0.2738100000000003	No data	-0.09023717595146163	-0.8580278827786847	0	No data	No data	-0.05357249999999993	0.75	0.5
PDLIM3	0.09597302693261105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7893417088726256	No data	No data	No data	0	0	0	0	0	0	No data	0.18632101489244346	-0.9012553461548523	0	No data	No data	0	0.75	0
ANKHD1	0.005779818282985754	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0475368109799087	No data	No data	No data	0	0	0	0	0	0.6518500000000003	No data	-0.9678985107556536	0	0	No data	No data	-0.035207499999999926	-1	-1
OR7A10	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	0	No data	0.8771097628240485	No data	-1	No data	No data	-0.5631074999999999	No data	No data
RALB	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	1	0.7572800000000001	No data	0.3571980143408715	0	0	No data	No data	-0.5509699999999998	1	-1
NECAB3	0.01083536280836047	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	0.08531717780015868	No data	No data	0	0	0	0	0	0	No data	0.2280198565912852	No data	0	No data	No data	0	-1	-1
ZZEF1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.5457599999999999	No data	-0.6693877551020408	-0.2989142177752879	0	No data	No data	No data	-1	-1
HNRNPH1	0.0031106304435962405	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.025583754399489053	No data	No data	No data	0	0	0	0	0	0.8441000000000003	No data	-0.9911748483177054	-0.5279194549343232	-1	No data	No data	-0.9053450000000002	-1	-1
SETD1B	0.008315546730405791	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06839221473130737	No data	No data	No data	0	0	0	0	0	0.5066099999999999	No data	-0.9917264202978489	-0.6083071890879188	0	No data	No data	0	-1	-1
ACE2	0.20800352527659016	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2955642758079057	No data	No data	0.9317145783846872	No data	No data	No data	1	1	1	1	1	0.10559000000000011	No data	No data	-0.9773906210337058	0	No data	No data	0	0.5	0
OGFOD3	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.20062500000000014	No data	0.41003861003861	-0.05373224667943238	0	No data	No data	No data	-1	-1
NPM3	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.07303500000000014	No data	0.11781577495863216	-0.011453818198359778	0	No data	No data	0	-1	-1
C6orf15	0.007386464040156748	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.060750862344661295	No data	No data	No data	0	1	0	0	0	0	No data	0.9722007722007722	No data	0	-1	No data	No data	0.75	0.5
CLC	0.00302850158699964	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024908275735476142	No data	No data	No data	0	0	0	0	0	No data	No data	0.7800330943188085	No data	0	No data	No data	0	1	0
SLC25A1	0.007186274952202535	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.05910438310112983	No data	No data	No data	0	0	0	0	0	0.7106099999999997	No data	0.12145615002757859	-0.7867799712668513	0	No data	No data	0	0.5	-1
NRCAM	0.030032979133302728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23662600673502607	0.041535376600342976	No data	No data	1	1	0	0	0	0.24079499999999995	No data	-0.5006067291781577	-0.7065715233562649	0	No data	No data	0	0.5	0
XPNPEP2	0.04847655760614338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39870128143362144	No data	No data	0.5	1	0	0	1	0	0.06527999999999992	No data	No data	No data	0	-1	No data	0	0.75	0
SCEL	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	1	0	0	0	0	0	No data	0.6854936569222283	-0.6926441426163679	0	No data	No data	0	0.5	0
AP1S2	0.01217690974567569	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08814996565368506	0.04800197540745362	No data	No data	0	0	0	0	0	0.5	No data	No data	-0.315899525974985	0	No data	No data	-0.625	1	-1
CCR5	0.09568414066941551	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7869657290379923	No data	No data	1	1	0	1	1	0	0.11931999999999973	1	0.7373414230557087	-0.9378199235698678	0	No data	No data	-0.3323875000000001	0.5	0
DEFA4	0.003860056260040219	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03174749720860688	No data	No data	No data	0	1	0	0	0	0	No data	0.9827909542195257	No data	0	No data	No data	0	1	0.5
COPG1	0.46499219148280807	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	0.03647584785669726	0.08305550556969966	No data	No data	0	0	0	0	0	0.8627000000000002	No data	-0.8199669056811913	-0.551606756503793	-1	No data	No data	-0.5223099999999998	-1	-1
GABRB2	0.08562042877174317	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13678442946261474	No data	No data	No data	0.07299019301922588	0.018232415604494685	No data	1	1	0	1	1	0	0.6191400000000001	No data	-0.7652509652509653	-0.2859359608929937	0	No data	No data	-0.3359375	1	0.5
ANLN	0.012118576833029686	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07953761268752042	0.07978629027414993	No data	No data	0	0	0	0	0	0.008004999999999995	No data	-0.6473248758963044	-0.2968332104456023	-1	No data	No data	0	1	0
CCNK	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	1	0	0	0.8103450000000002	No data	-0.8536127964699394	-0.022023425318627998	-1	No data	No data	0	0.5	-1
CNRIP1	0.0063457364709749615	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	0.0426923545038216	No data	No data	0	0	0	0	0	0.8170749999999998	No data	0.35918367346938784	0	0	No data	No data	No data	0.5	-1
DNAI2	0.25677333710448785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4176611782594575	No data	No data	0.09422927362980127	No data	No data	No data	0	0	0	0	0	0.23140500000000017	No data	-0.003530060672917834	-0.56650461130757	0	No data	No data	0	0.75	0.5
ARID5A	0.0042501683288740716	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	No data	0	0	0	0	0	0	No data	-0.2840595697738555	-0.14741359860466624	0	No data	No data	0	0.5	-1
FCGR1A	0.05005250157422841	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4116628222395523	No data	No data	0.5	1	0	0	1	0	0	No data	-0.3696635410921125	0	-1	No data	No data	0	0.5	0
RAB14	0.014386093134435255	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1183201541273606	No data	No data	No data	0	0	0	0	0	1	No data	-0.9410921125206839	No data	0	No data	No data	0	-1	-1
CYP4Z1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	1	1	0	No data	No data	0.12366243794815213	No data	0	No data	No data	0	0.5	0.5
COMMD9	0.008513773448791577	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07002255423018257	No data	No data	0	0	0	0	0	0.49495000000000006	No data	0.692222835079978	-0.9309561328576132	0	No data	No data	No data	-1	-1
SLC2A3	0.08641823909930936	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7107572065671032	No data	No data	No data	1	0	1	1	0	No data	No data	-0.5035852178709321	-0.7649396590123225	0	No data	No data	-0.86391	0.5	-1
AANAT	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0.1545900000000003	No data	0.4924434638720352	0	0	No data	No data	No data	0.5	0.5
ADAM12	0.04117710347368497	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3386660425451182	No data	No data	No data	1	1	0	1	0	0.06180999999999983	No data	-0.2569222283507998	No data	0	No data	No data	0	1	0.5
DNAAF4	0.020414221194548596	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16789921874948588	No data	No data	No data	1	0	0	0	0	0	No data	0.08902371759514627	-0.9455809330142103	0	No data	No data	0	0.5	0
ZNF571	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	1	0	0	0	0	No data	No data	0.3280750137892996	No data	0	No data	No data	0	0.5	-1
MCC	0.010061378491950195	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06198698829980493	0.06725427106295485	No data	No data	0	0	0	0	0	0.6712449999999996	No data	-0.08747931605074466	0	0	No data	No data	0	0.5	0
CCL28	0.06981780023821785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5742248995486919	No data	No data	No data	0	1	0	0	0	0	No data	0.43706563706563717	-0.8020332214068578	0	No data	No data	0	1	0
CPA3	0.012565715059279862	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10334823559397559	No data	No data	No data	0	1	0	1	0	0.06475000000000009	No data	0.3650303364589078	0	0	No data	No data	0	0.5	0
IL17C	0.03598064296302655	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29592712776177627	No data	No data	No data	0	1	0	0	0	0	No data	0.8095973524544953	-0.04544918591583402	0	No data	No data	0	0.5	0.5
IL13	0.10589105872540859	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8709137548337985	No data	No data	1	0	1	0	0	1	0	No data	0.5741864313292884	-0.8039416059473689	0	-1	No data	No data	1	1
TGFBR1	0.47444789861542214	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7470115176690084	No data	No data	0.6490595233203802	0.04348228890499464	No data	0.5	1	0	1	1	1	0.8210749999999998	1	-0.678323221180364	-0.9484855195077271	0	No data	No data	-0.21471249999999992	-1	-1
ERAS	0.09145623032700675	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7521927716634116	No data	No data	No data	1	0	0	0	0	0	No data	No data	No data	0	No data	No data	0	0.5	0.5
HS6ST1	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.86618	No data	-0.7698841698841699	-0.8582543126871472	0	No data	No data	-0.026764999999999973	-1	-1
NSMAF	0.06024151631360641	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.49546360005347123	No data	No data	No data	0	0	0	0	0	0.6019649999999999	No data	-0.3087699944842802	0	0	No data	No data	0	-1	-1
THOP1	0.08413787757333502	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6920020987905832	No data	No data	No data	0	0	0	0	1	0.44847499999999985	No data	-0.15995587424158852	-0.7908951270241024	0	No data	No data	-0.052974999999999994	-1	-1
DGCR8	0.009506620473197985	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07818834405615462	No data	No data	No data	0	0	0	0	0	0.7671399999999998	No data	-0.9096525096525097	-0.260584431250922	-1	No data	No data	No data	-1	-1
FBXW7	0.022816354194755282	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18765585066913817	No data	No data	No data	0	0	0	0	0	0	No data	-0.9670159955874241	-0.9413885914346167	0	No data	-1	0	0.5	-1
CHRND	0.0073915970936940375	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	1	1	0	1	1	0	0.39071500000000015	No data	-0.20761169332597906	-0.5693053388141289	0	No data	No data	0	1	0.5
MLF2	0.004129808532192702	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03396610723142739	No data	No data	1	0	0	0	0	0.8387099999999996	No data	-0.5076668505239934	No data	0	No data	No data	0	-1	-1
TM4SF4	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	0	0	0.38119000000000014	No data	0.7126309983452841	0	0	No data	No data	0	0.75	0.5
GRIA2	0.1188372551555352	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	0.787412930993704	No data	No data	1	1	0	1	1	1	0.988675	No data	-0.9804743519029233	-0.9091203828943991	0	No data	No data	-0.27519750000000015	1	0
PTPN14	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	1	0	0.5871949999999998	No data	-0.6623276337562052	-0.8051776284419795	0	-1	No data	0	-1	0
FOXH1	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0	No data	0.7466078323221181	-0.9666247150871257	0	No data	No data	0	1	0.5
TPGS2	0.011516496408298004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09471881054178276	No data	No data	0	0	0	0	0	0.2333350000000003	No data	0.21356867071152785	-0.2546390272457713	0	No data	No data	No data	0.5	-1
AIPL1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.07402095973524547	-0.31735271536222603	0	No data	No data	0	1	0.5
MACC1	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.5095421952564809	No data	0	No data	-1	0	0.5	0
METAP1	0.009975731512565174	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06959108597033886	0.049822073117317706	No data	0.5	1	0	1	1	0	0.9093249999999997	No data	-0.15907335907335907	-0.7542147433792664	-1	No data	No data	0	-1	-1
CREB3	0.027872342662085884	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22923943622849846	No data	No data	No data	1	0	0	0	0	0	No data	0.30733590733590743	-0.7972833839851159	0	-1	No data	0	-1	-1
ARHGAP1	0.22113685530321306	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.35586332239661356	No data	No data	0.15780025939671646	No data	No data	No data	0	0	0	0	0	0.8291550000000001	No data	-0.5669056811913955	-0.875920774363223	0	No data	No data	0	-1	-1
WNT8B	0.018663782661577442	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15350252639693432	No data	No data	No data	0	1	0	0	0	0.786325	No data	-0.019856591285162706	No data	0	No data	No data	-0.05983000000000001	0.5	1
HFE	0.6048602773233976	No data	No data	0.8270002910534164	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7184806570656189	No data	No data	No data	1	0	0	0	0	0	No data	0.12741312741312738	-0.7275621844630433	0	No data	No data	0	-1	0
ECPAS	0.0015307010929653002	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01258943533523033	No data	No data	0	0	0	0	0	0.78793	No data	-0.8745725317153888	-0.28341503819740543	0	No data	No data	0	0.5	-1
GGTLC4P	0.057017320163729325	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.468945810836804	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CRTAM	0.017226527671136936	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14168164977670836	No data	No data	No data	1	0	0	0	0	0	No data	0.29255377826806406	0	0	No data	No data	0	1	0.5
ABCA5	0.013858176270282544	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11397823835152941	No data	No data	No data	0	0	0	0	0	0.5036549999999999	No data	0.0026475455046883756	-0.9071263820001287	0	No data	No data	0	-1	-1
WDR53	0.0036957985468470188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.17597999999999986	No data	0.24555984555984556	-0.20740786302009984	0	No data	No data	No data	1	-1
DUSP5	0.03618534456760559	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2928581640079069	0.019010226933572415	No data	No data	0	0	0	1	1	0.6744799999999997	No data	0.1808052950910093	0	0	No data	No data	0	0.5	-1
NIPA1	0.01131125642001391	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08318593843192872	0.03937940451504781	No data	No data	1	0	0	0	0	0.8480249999999998	No data	-0.2355212355212355	0	0	No data	No data	0	1	-1
LSM6	0.5268771472813407	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.865457038266544	No data	No data	0.024317231904464845	No data	No data	No data	0	0	0	0	0	1	No data	No data	No data	-1	No data	No data	0	-1	-1
FUCA1	0.04837553274286912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0986198849458852	0.01223413580958383	0.3718560706290883	No data	0	0	1	1	0	0.05579499999999982	No data	0.33656922228350794	-0.32327420041811744	0	No data	No data	0	-1	-1
PELI1	0.05975252906290103	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4914418655680129	No data	No data	No data	0	0	0	0	0	0.9880400000000001	No data	-0.6228350799779372	-0.8420695593945893	0	No data	No data	-0.5394725000000001	1	-1
PIR	0.015872689098936587	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13054684152617083	No data	No data	No data	0	0	1	1	1	0.793105	1	No data	0	0	No data	No data	No data	-1	-1
ARPC5L	0.3542942176554161	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5815973477806404	No data	No data	No data	0.02379475207275218	No data	No data	0	0	0	0	0	0.8366	No data	-0.5583011583011583	-0.09273409695322227	0	No data	No data	-0.1993475	-1	-1
MYNN	0.0044349582562164215	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	No data	0	0	0	0	0	0.5983600000000002	No data	-0.6290126861555433	-0.13173594722701215	0	No data	No data	0	-1	-1
P2RX6	0.02731792180098428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22467953514041608	No data	No data	No data	0	0	0	0	0	0	No data	0.7052399338113624	No data	0	-1	No data	0	0.5	0
