symbol	gwasCredibleSets
ZFAT	0.457088936666777
DLG2	0.456395352975831
PDE7B	0.45557139395862
FAM20C	0.454316304971456
PPIAL4F	0.453827270673718
TET2	0.451913818900868
NRXN3	0.451019518853118
VWA8	0.450946947074656
NEO1	0.450946947074656
ZNF680	0.450537449697749
CENPQ	0.450529514123415
HMGA1	0.450285939097526
MAST2	0.450254595390684
RNF24	0.450050951884957
SPTSSA	0.449786541447005
DTNB	0.449096690012481
SPMIP2	0.448886705294387
GUSB	0.448507155425242
FSCN1	0.448462568775787
TRPM6	0.448327446599122
WDR70	0.448327446599122
SCARB1	0.44815170442781
ZMYM2	0.447615926336052
PGPEP1L	0.447615926336052
SP9	0.447615926336052
RAP1GAP2	0.447022135210012
EEA1	0.446569191469516
GHR	0.446457368718862
PEG3	0.446280285834078
ZIM2	0.446280285834078
RAB23	0.446034391736238
MACF1	0.445964565929203
FIBCD1	0.444918012240163
ADCK1	0.44468179302062
NFIA	0.444273781299181
ARHGAP15	0.443493413587556
WNK2	0.443340644722761
REG3G	0.443340644722761
E2F8	0.443340644722761
ST3GAL3	0.442134002598081
EGFLAM	0.441645511832831
HECTD1	0.441590977406475
ROBO2	0.441285983209375
ZNF385B	0.440878442549427
MKRN1	0.440495143438469
EPCAM	0.440495143438469
SMYD3	0.438929008925832
SLX4IP	0.438670251225762
ANKRD9	0.438341921367151
CDH15	0.437542312605429
IVNS1ABP	0.437489916073529
CTNND1	0.437325551848978
TENM2	0.436344113352072
ABHD12	0.436026654143233
ROBO1	0.435735719319838
CSNK1G3	0.435531314868627
CTNNA2	0.435505623899666
LRBA	0.435251757991993
KALRN	0.434055732868589
CRYBG1	0.433743491571641
SEMA5B	0.433743491571641
PRKD3	0.432437962769535
TBXAS1	0.431942514788432
LAP3	0.431681184367915
KIAA2013	0.431332345216735
RIMS1	0.431118664477719
RASA1	0.429574246659715
CBR4	0.428600043632068
PARD6G	0.428346576314886
PDE9A	0.427697018755516
MS4A4A	0.4269276936633
ZNF717	0.426780006976258
HCN1	0.426721015583496
TANK	0.426342997796553
SPG11	0.426020003615205
DMRTA2	0.426019532553715
EIF3F	0.42591829056884
WDTC1	0.425394651369327
GRIN3B	0.424345280370221
APOC4	0.423226355330325
CLIC4	0.422554549174422
TCF20	0.422372864381234
MAP3K20	0.421636595272184
CISD1	0.421400738407633
ZNF585B	0.420348713158207
C2orf42	0.420341647235856
NRXN1	0.419953275155005
KCND3	0.418717825808429
TRANK1	0.41841562174477
MAK	0.418331011854045
COQ6	0.417962351884781
TENM3	0.417953293009971
RBFOX2	0.417720371220859
RPH3A	0.417686599735567
AHCYL2	0.415059924631184
BCL6	0.414662022614033
WEE1	0.41450251394638
KLC1	0.414323872935128
WNT11	0.413754214651582
DYM	0.41279879324313
DPP4	0.412454882119846
NCKAP5	0.411565771675002
CDKAL1	0.411565771675002
CACNB2	0.411565771675002
SPAG16	0.411565771675002
SHANK2	0.411565771675002
DOCK4	0.411565771675002
LDLR	0.411417111009934
FAM72B	0.411046770619393
DLGAP2	0.409840490849704
NPAP1	0.409754286597013
SEC61G	0.40847844372766
PITX2	0.408291323609586
KDM2A	0.407946388833449
TMEM266	0.407650888337149
ALG10B	0.40757606203122
COL21A1	0.407384629888736
GAB2	0.405803493879414
HOOK3	0.403526979389573
SEMA6D	0.402850047042887
ATF7IP	0.402026957677658
CDKN2B	0.401171582482606
INPP5A	0.400683925133839
CLTCL1	0.400453068768183
MAN2A1	0.400009908612482
TAF12	0.399537397702397
DUSP6	0.399193486579113
BCAS3	0.39886718590846
MVK	0.398866171314482
TFAP2B	0.398280098349779
SLC7A14	0.397549409507612
UBE2K	0.397549409507612
GPR141	0.397372471564824
STK3	0.397010370220922
SHROOM3	0.396362588201015
SLC2A13	0.396059188365881
GRIK1	0.395256236879355
SCAPER	0.393576947961467
OR6B2	0.392887313939938
ADK	0.392747952209862
SUZ12	0.392393424085301
GRIA1	0.391415794845252
TJP1	0.39112246394947
GAK	0.3908879428915
MTMR2	0.39067876026128
EPSTI1	0.387991571873166
ATP5F1B	0.386100767287342
ETV1	0.384407446172373
FADS2	0.384080420791735
OPTC	0.383867899588694
CD164	0.383815720469789
CCL26	0.383497210431473
LHX5	0.382383756951962
SIX2	0.381965245994618
THBS2	0.381445339051528
TAFA5	0.379874983103229
INPP5B	0.379742379293761
TREML2	0.379467573671147
DAB1	0.379306502473407
COL5A1	0.379270665564659
ADAM17	0.378796995118599
ZNF723	0.378777246771513
ZDHHC19	0.377545239797365
SPEN	0.376799332045516
P4HA3	0.376717802172227
ISM1	0.376150789080125
FAM227A	0.375737160856304
KANSL1	0.375248977510962
C7orf78	0.375237944383279
VWC2	0.375131307838454
WDPCP	0.374819424367061
SLC35E1	0.374708072677898
BNC2	0.373568248813815
MPI	0.373364557748995
WDR7	0.372696422702109
WWP2	0.371937551700407
APOBEC1	0.371663819680276
SNX19	0.371620119668193
MAF	0.369043956849749
UBE4B	0.369043884378751
SEMA3F	0.369033906028148
SPATA21	0.36868315998382
QKI	0.36782249440588
ACTB	0.366436414088964
GNG7	0.366283898872664
STK24	0.365640107287111
CCND1	0.364034326608868
UMAD1	0.363169530184014
CPNE8	0.363065364447293
ACP5	0.362674154673909
TMED10	0.361493783286177
AVL9	0.360168324959489
CCR7	0.359816514497371
LTBP1	0.359670231786941
SAR1B	0.359170652958924
HBEGF	0.35908902570273
LRRC38	0.357902772840528
SEPTIN14	0.357730473041643
MRPS27	0.35662500043084
PLCXD3	0.354239472573896
BRSK2	0.353504326765322
RAC1	0.353206869552063
ADAMTS1	0.352920531101092
PMFBP1	0.352063639551052
PLEKHG4B	0.350680023248085
ADGRL3	0.350153267795638
PKP2	0.34857905276667
BRINP3	0.347527317401239
NFAT5	0.346915770880571
CYP1B1	0.343548732055723
ZNF594	0.343069665351173
SIL1	0.341159689355353
DGAT2	0.340634419558374
PIK3CG	0.33948560929048
ASL	0.338900152329265
CCNJL	0.338638894379747
RAB6A	0.338638894379747
GRIA4	0.338322123645394
NAALADL2	0.338322123645394
PRKCQ	0.338218635059565
SLC28A3	0.337506643735005
GRIK5	0.335108209246176
MARCKS	0.333507766509915
RBM23	0.333400183312672
CCNYL1B	0.332304023225173
OR4A47	0.332120200537531
STYX	0.331640478763097
CHD1	0.331431037577491
EIF2B3	0.331244243578911
ANXA1	0.32958295464527
EFL1	0.329285932258003
RACK1	0.329063337586174
PPP1R9B	0.328789360976423
EP300	0.328770482281319
ENSG00000288712	0.327011248793233
LASP1	0.326611679943117
MFAP3	0.326464382638708
FOXD4L6	0.32583236306097
GMNC	0.325336915079866
LRRTM4	0.325314304128341
FOXG1	0.325314304128341
ELAVL2	0.325314304128341
IRAK1BP1	0.325314304128341
TENT5A	0.325314304128341
GTF2H1	0.324537415024642
XNDC1N	0.324537415024642
OSR1	0.324355802702453
PRELID2	0.323856078932439
ZSWIM2	0.323656276389631
SPPL2C	0.323267716085493
C17orf58	0.323102163135259
PDZD2	0.322611570711053
DDX18	0.322360168817328
SMARCA2	0.322360168817328
RGS18	0.322075212851307
ADGRB3	0.322075212851307
MMS22L	0.322075212851307
ARID1B	0.322075212851307
SLCO4C1	0.322075212851307
ARHGAP24	0.321689594668399
TEKT5	0.32046523338459
RPL23	0.320024066181347
ZNF217	0.319915142270633
TGFB2	0.318920948877994
TPTE	0.318920948877994
CADM2	0.318884894556251
OR4C45	0.317754854276963
RAP2B	0.317754854276963
NAF1	0.317754854276963
PRSS12	0.31640772712173
LRRC4C	0.316137301590904
PMF1	0.315937680225593
BLCAP	0.315243661708656
PCDH17	0.314912541716604
CANX	0.314186962079829
CTNNB1	0.313980383498663
ICE1	0.311809659681212
CARF	0.31162508510696
TMEM132C	0.310694802076106
MARK1	0.310046367817212
RCN1	0.309837941225585
TCFL5	0.309677744083447
LSAMP	0.309507835827512
FNIP2	0.308993690328801
SEMA3C	0.308178246653911
ALG10	0.30789234856491
THSD1	0.307150535424476
SMC2	0.30677053374395
PCNT	0.306186598673703
SLC1A4	0.305860008119055
CDK2AP1	0.304942436954278
GRAMD1B	0.30425803669767
SLC39A13	0.304130217913582
SPATA31D1	0.303560177217813
PPP1R13L	0.302871122964272
CTNNBL1	0.302795318299863
LSM14A	0.302514819300248
CNN2	0.302154057914912
FLRT2	0.30198525559661
GRAP	0.301497489541345
PCDHGB2	0.301460420625623
COX7C	0.301071965175444
DNAH14	0.300925693363344
ZCCHC8	0.300859255575488
SYNPR	0.299844444183782
KIF2A	0.299771411535064
JARID2	0.299771411535064
IRX1	0.299771411535064
SEL1L	0.299771411535064
SKOR2	0.299508341810584
PTPN9	0.299038403620945
FAM240B	0.297475765833984
POTEC	0.297475765833984
PHKB	0.297292812798323
MPHOSPH9	0.296009546181063
