,Neurons,Astrocytes,Oligodendrocytes,Microglia
BM_36_528,0.578726690666817,0.16332390867176,0.150701877226334,0.03338026925305
BM_36_531,0.457089717015675,0.203604931765316,0.235912635792499,0.029697075664189
BM_36_533,0.31741060400224,0.241241137563677,0.304251906055701,0.065309162446234
BM_36_534,0.36571734681427,0.223959471514459,0.289522454142528,0.04239470961901
BM_36_537,0.25720842591504,0.244326272061786,0.384799806982024,0.032762872627853
BM_36_538,0.510934789876807,0.170728023458632,0.176932752959235,0.051165670655888
BM_36_539,0.14247173419233,0.263992915690743,0.402699237182326,0.04625497891934
BM_36_540,0.082969115802673,0.271168854084406,0.463258161000641,0.06143879674648
BM_36_541,0.180017034170123,0.266738369595308,0.347777425848076,0.08356983307034
BM_36_543,0.330745069214671,0.221142335269771,0.240767116638437,0.077023626659613
BM_36_544,0.293408032183437,0.245723665096656,0.25985027995643,0.034271016964609
BM_36_545,0.273805390346463,0.22703624400004,0.32553377835318,0.074587219982809
BM_36_428,0.484844519291356,0.141641723746856,0.282346881873386,0.028486208048608
BM_36_430,0.455420618023349,0.167075185481651,0.278546819250645,0.033500106098915
BM_36_432,0.363562090204884,0.186002019479654,0.344758015141968,0.028258103082745
BM_36_435,0.385778059804505,0.223496649675084,0.244670297907305,0.047579707770155
BM_36_437,0.341770206118511,0.182476920960706,0.309157203410893,0.043965285056807
BM_36_440,0.364918509014053,0.211320368967922,0.306246299685857,0.050465336423222
BM_36_441,0.479420085817919,0.167894848586769,0.203811237296599,0.040293338123949
BM_36_448,0.506008545894035,0.149867209853811,0.230645598150408,0.035893198787413
BM_36_449,0.511441867985235,0.250618868569464,0.082183155086834,0.040661291083754
BM_36_450,0.488738857662263,0.185795963530032,0.200644508465574,0.033909822710572
BM_36_455,0.277495579870088,0.202266000434111,0.368069150793615,0.065766776893039
BM_36_458,0.381007015341596,0.227613127451733,0.247335352723747,0.050796903322687
BM_36_464,0.332758764502546,0.215576875511507,0.217164637698807,0.038665820112833
BM_36_465,0.231325526886643,0.305721414520943,0.275664166282313,0.053628171404987
BM_36_466,0.412938597890608,0.1752865003264,0.267643515114711,0.048019449371804
BM_36_467,0.470275298469426,0.198167644429713,0.207084944884507,0.033369067473202
BM_36_471,0.267848303501326,0.174428004761878,0.406531673164011,0.059373125396908
BM_36_472,0.446058149011705,0.177546733841888,0.203524475993789,0.027839984362022
BM_36_476,0.318809035524035,0.252794919639699,0.228743953569129,0.083039484939825
BM_36_480,0.486958923268232,0.146110731867331,0.266445934052193,0.020958099339185
BM_36_482,0.427769998539967,0.22727488151586,0.189255022083594,0.058504497847766
BM_36_483,0.456357372997248,0.17898624809061,0.265277602737359,0.028838174810736
BM_36_486,0.366877376737441,0.195462535096332,0.300193444542068,0.04125010754118
BM_36_487,0.217524061347831,0.20977199860593,0.3958026206407,0.071395759737292
BM_36_490,0.356283250910799,0.152634060173064,0.360254729348004,0.039489747174009
BM_36_491,0.106005623480428,0.232290427327464,0.509144644771598,0.060331170957814
BM_36_493,0.383458315217913,0.148960723834472,0.350372534709176,0.040413702182894
BM_36_499,0.343236450527954,0.183217563215331,0.353457201847578,0.042503963630718
BM_36_502,0.299077513231485,0.166341079410067,0.414889203595619,0.035515198402178
BM_36_507,0.142856278008977,0.223348851072219,0.449109381449478,0.064887952826238
BM_36_509,0.369529284562483,0.137595489544791,0.38453695465385,0.047776511463626
BM_36_510,0.353598396508182,0.174311745026353,0.243852442582908,0.079539082411009
BM_36_515,0.385733990866972,0.139988101454696,0.386584148207476,0.022161992392072
hB_RNA_10372,0.468018780890939,0.178269741849825,0.225938993890732,0.039910130114116
hB_RNA_10392,0.408197610034595,0.192637146816221,0.248329983592067,0.041006526140824
hB_RNA_10442,0.135796150783563,0.281082540120181,0.423605973460807,0.035216294119018
hB_RNA_10452,0.533310027825367,0.197844136633873,0.132976079980589,0.030235939746818
hB_RNA_10462,0.256157074699937,0.221068905148469,0.342436179747506,0.063109305425437
hB_RNA_10472,0.07711088639491,0.246516146092422,0.5167589167468,0.040015381530156
hB_RNA_10482,0.148559125417543,0.344693112740257,0.279938493921632,0.069998938385178
hB_RNA_10492,0.413007442863395,0.233457377867285,0.173681440626449,0.051080104979668
hB_RNA_10583,0.260686368975021,0.265430247509032,0.307515175823742,0.046813947968829
hB_RNA_10617,0.341329861260969,0.307932243261955,0.182086262029581,0.065347720515483
hB_RNA_10642,0.260985413798764,0.370254641348453,0.180277993675432,0.064897154256805
hB_RNA_10682,0.156151165591942,0.347274796212802,0.232286109518022,0.06646879069076
hB_RNA_10702,0.178814762822112,0.41843507520737,0.217597005622318,0.031919911043238
hB_RNA_10722,0.133825694185,0.336946596656036,0.323491826321514,0.088032042027155
hB_RNA_10762,0.428137478784166,0.25587562266792,0.123721363371597,0.060215047564335
hB_RNA_10822,0.526601410666179,0.175277003993594,0.18130775864392,0.028183818095441
hB_RNA_10832,0.190953894081566,0.309067545154862,0.331570537683209,0.059352016154908
hB_RNA_10842,0.355625625630854,0.364623647024546,0.15471515373718,0.028186794254964
hB_RNA_10882,0.194520977385342,0.287036172744043,0.255708869501321,0.082709835991726
hB_RNA_10962,0.051361577001485,0.258175946665786,0.54088586497095,0.028019535641881
hB_RNA_10972,0.299730324318069,0.182389249035379,0.422502397110361,0.018806360701289
hB_RNA_11042,0.246069842965232,0.254998616851687,0.404855614043911,0.009146417461006
hB_RNA_11052,0.121329067580527,0.266418307483524,0.372583078478928,0.046734392973739
hB_RNA_11062,0.336742131778336,0.221705484187266,0.277838412791564,0.054794863706229
hB_RNA_11072,0.394755155657175,0.210248189297939,0.266336732942784,0.03849750453788
hB_RNA_11132,0.390501126858769,0.250785399026541,0.205681261572718,0.032851515106342
hB_RNA_11142,0.301894294269813,0.219544192678093,0.319884553805948,0.04907459253017
hB_RNA_12362,0.343459603309439,0.412169940626134,0.052913885799362,0.045571797116647
hB_RNA_12382,0.431961027077971,0.311139182737439,0.115949177413962,0.026874559960113
hB_RNA_10552_resequenced,0.28641192817085,0.20740846587997,0.392097132478412,0.049096641462086
