specimenID,Neurons,Astrocytes,Oligodendrocytes,Microglia
BM_10_667,0.199090924,0.264089043,0.35302833,0.070560765
BM_10_668,0.348371707,0.21189619,0.316331425,0.039652603
BM_10_670,0.369481119,0.264650974,0.209069726,0.039581294
BM_10_671,0.482605485,0.208131793,0.196721004,0.035352855
BM_10_672,0.330662758,0.254678245,0.271334276,0.045155311
BM_10_674,0.112275911,0.425419044,0.180295166,0.068590862
BM_10_675,0.471119115,0.194218975,0.241899807,0.03151843
BM_10_676,0.466623567,0.278802731,0.092029787,0.022756134
BM_10_677,0.131579052,0.36234952,0.223889419,0.107111838
BM_10_678,0.291965742,0.230199173,0.331632318,0.035511605
BM_10_679,0.500258108,0.197832384,0.158608102,0.069987032
BM_10_680,0.499838947,0.201409091,0.187416677,0.04337719
BM_10_681,0.496570344,0.188865946,0.208172561,0.039738586
BM_10_682,0.500555538,0.185722626,0.18200989,0.048283141
BM_10_684,0.317717943,0.265549818,0.253596068,0.051982342
BM_10_685,0.364159881,0.270055105,0.238732892,0.061610275
BM_10_686,0.481320651,0.169913109,0.227720433,0.040815772
BM_10_687,0.520681277,0.198316488,0.112166379,0.079211394
BM_10_689,0.395354199,0.173358688,0.331023359,0.025135117
BM_10_690,0.427305981,0.206887931,0.232486375,0.034333955
BM_10_691,0.313155664,0.180805934,0.267843044,0.037077997
BM_10_692,0.552283497,0.164485766,0.184336775,0.022941356
BM_10_693,0.478833014,0.203416652,0.185138166,0.030324893
BM_10_695,0.462488656,0.139862493,0.287141216,0.047542265
BM_10_697,0.391386863,0.235509324,0.260815829,0.03927205
BM_10_698,0.305594243,0.248548951,0.243573039,0.082159635
BM_10_699,0.528863825,0.199912869,0.12368698,0.056599424
BM_10_700,0.277487713,0.330196595,0.152222301,0.105153776
BM_10_701,0.541999563,0.177626321,0.173343971,0.034029198
BM_10_702,0.397662699,0.211437605,0.242537651,0.063355257
BM_10_703,0.615093073,0.146023227,0.142605195,0.033355064
BM_10_705,0.480824248,0.215518612,0.145839043,0.053599413
BM_10_706,0.363312979,0.219591041,0.282263632,0.046441807
BM_10_707,0.523213708,0.15615125,0.216606685,0.039228521
BM_10_708,0.429921161,0.262429386,0.125321978,0.079480717
BM_10_709,0.424834301,0.277680374,0.11859218,0.075414873
BM_10_710,0.547829538,0.213664203,0.128003644,0.041273287
BM_10_711,0.344679295,0.15486526,0.392089902,0.046883823
BM_10_712,0.488924845,0.169888677,0.211271011,0.052011642
BM_10_713,0.314914806,0.247440694,0.296061398,0.066489564
BM_10_714,0.359375893,0.239256463,0.253791158,0.067845106
BM_10_715,0.506493296,0.211933579,0.156001142,0.052160625
BM_10_716,0.310754226,0.1663852,0.411785791,0.048173865
BM_10_717,0.458861728,0.283595106,0.135263562,0.025368599
BM_10_718,0.465468466,0.170051831,0.236701237,0.037103132
BM_10_719,0.352708552,0.308470791,0.180791836,0.053342782
BM_10_720,0.389512275,0.259538394,0.146000053,0.046226652
BM_10_722,0.303538205,0.21374888,0.316324833,0.070505992
BM_10_724,0.561057717,0.172430806,0.146731246,0.036613642
BM_10_725,0.488177356,0.207720042,0.187472142,0.047108954
BM_10_727,0.283107205,0.18885743,0.41929147,0.04444449
BM_10_728,0.480191418,0.181952872,0.208655119,0.06267603
BM_10_729,0.49582292,0.18752668,0.19980198,0.050813347
BM_10_730,0.398273428,0.224007712,0.150639882,0.076744631
BM_10_731,0.557911743,0.205713355,0.085751594,0.047556824
BM_10_732,0.454490251,0.207358809,0.203689471,0.041056883
BM_10_735,0.469323656,0.178672589,0.216394625,0.040721846
BM_10_736,0.445362874,0.173148479,0.278857854,0.030555262
BM_10_737,0.474269148,0.177167785,0.205437906,0.036595382
BM_10_738,0.358244295,0.171716821,0.373477667,0.030870177
BM_10_739,0.525368706,0.156197485,0.204584372,0.038611294
BM_10_740,0.425834809,0.185956765,0.251946101,0.059290572
BM_10_741,0.466702194,0.220414373,0.170536247,0.049518182
BM_10_743,0.289461139,0.23343599,0.340196573,0.036930237
BM_10_744,0.409114225,0.214830653,0.211735262,0.030318022
BM_10_746,0.526546606,0.216977968,0.134114623,0.035341557
BM_10_747,0.390540716,0.168164306,0.331166001,0.043526378
BM_10_748,0.446526267,0.189241126,0.180733081,0.065434962
BM_10_749,0.456394932,0.225922644,0.192338673,0.036414022
BM_10_750,0.395761433,0.213425645,0.21312365,0.058913464
BM_10_751,0.357556904,0.215082895,0.260248069,0.043009186
BM_10_752,0.196511935,0.36267564,0.262323839,0.045877953
BM_10_753,0.480740725,0.202505805,0.207012382,0.039652553
BM_10_754,0.242995681,0.232182305,0.341882768,0.075349844
BM_10_755,0.35029166,0.265813455,0.211438618,0.056204992
BM_10_756,0.302319168,0.232849753,0.313087099,0.051653847
BM_10_758,0.186578343,0.367876821,0.266468389,0.055754688
BM_10_759,0.445962348,0.208681807,0.196885643,0.060951291
BM_10_760,0.08200912,0.337022318,0.438361003,0.028965993
BM_10_764,0.265617572,0.217730343,0.40116383,0.034133331
BM_10_765,0.508521559,0.230253818,0.13243345,0.037830208
BM_10_766,0.374889365,0.182929813,0.28916944,0.064532293
BM_10_767,0.320842949,0.269224017,0.201490156,0.089655604
BM_10_768,0.465323646,0.182744432,0.19237431,0.041359053
BM_10_771,0.2622051,0.305817329,0.268678485,0.048256896
BM_10_772,0.387954456,0.25442963,0.131534714,0.066660104
BM_10_773,0.432803258,0.223185533,0.191678579,0.053555818
BM_10_776,0.569756673,0.172059786,0.135672252,0.031062493
BM_10_778,0.463739833,0.151941745,0.27381712,0.030660237
BM_10_780,0.387944354,0.254416085,0.226047011,0.038600441
BM_10_781,0.22663521,0.362596419,0.257320071,0.022839268
BM_10_782,0.430209927,0.191837454,0.245201175,0.047285943
BM_10_786,0.411980031,0.216164348,0.228266482,0.068107977
BM_10_787,0.353646431,0.209832198,0.354541084,0.034165116
BM_10_788,0.36786611,0.180439263,0.323013927,0.054919742
BM_10_789,0.16495695,0.42381571,0.188164263,0.044641008
BM_10_790,0.448289423,0.215200747,0.207318599,0.038712536
BM_10_791,0.532502646,0.195739514,0.15493538,0.043987958
BM_10_792,0.489131701,0.179145345,0.219971289,0.0331536
BM_10_793,0.583472806,0.17032267,0.121602645,0.041815394
BM_10_796,0.299519434,0.306323316,0.257309992,0.033224995
BM_10_797,0.459844327,0.207462052,0.192905628,0.040829978
BM_10_798,0.308169808,0.238216741,0.274010679,0.059814627
