,Neurons,Astrocytes,Oligodendrocytes
hB_RNA_16035,0.543519351748859,0.240276998325583,0.216203649925558
hB_RNA_16045,0.506939809296295,0.204140197601589,0.288919993102116
hB_RNA_16055,0.60205314651388,0.208957760859949,0.188989092626172
hB_RNA_16065,0.599116927262743,0.190960541143776,0.209922531593481
hB_RNA_16075,0.615812634711241,0.243912675850802,0.140274689437957
hB_RNA_16085,0.688088082333495,0.181524507292845,0.13038741037366
hB_RNA_16095,0.754449107325515,0.174491174514187,0.071059718160298
hB_RNA_16105,0.657140399682901,0.190356699831014,0.152502900486085
hB_RNA_16115,0.193652733236612,0.197145882731451,0.609201384031938
hB_RNA_16125,0.51202140008521,0.189208553136425,0.298770046778365
hB_RNA_16135,0.589109955024033,0.157010618737952,0.253879426238014
hB_RNA_16145,0.570685896238873,0.227108074619675,0.202206029141452
hB_RNA_16155,0.536883255325594,0.181341345959099,0.281775398715307
hB_RNA_16165,0.13506606950718,0.280507945204689,0.584425985288131
hB_RNA_16175,0.531341290337669,0.189798765743107,0.278859943919224
hB_RNA_16185,0.44481492093014,0.185948494537419,0.369236584532441
hB_RNA_16195,0.461665261949108,0.159724568444093,0.378610169606798
hB_RNA_16205,0.593633438980589,0.237103549110706,0.169263011908705
hB_RNA_16215,0.64387719905715,0.246081874386868,0.110040926555982
hB_RNA_16225,0.531339486499856,0.226883875779342,0.241776637720802
hB_RNA_16235,0.292475200865962,0.325341769091715,0.382183030042323
hB_RNA_16245,0.578844919639441,0.23213563654164,0.189019443818919
hB_RNA_16255,0.538215112298117,0.20720752133501,0.254577366366873
hB_RNA_16265,0.186348171805586,0.381687608547578,0.431964219646836
hB_RNA_16275,0.52497683900458,0.196859738815727,0.278163422179693
hB_RNA_16285,0.551814742627128,0.15627943242301,0.291905824949862
hB_RNA_16295,0.404200987265884,0.354083871477093,0.241715141257022
hB_RNA_16305,0.14441598799532,0.439792922956171,0.415791089048509
hB_RNA_16315,0.62403449403763,0.16457755156181,0.21138795440056
hB_RNA_16325,0.471707276424584,0.317944178138123,0.210348545437293
hB_RNA_16335,0.645011855677234,0.169115533045109,0.185872611277657
hB_RNA_16345,0.234583323667804,0.349537238387145,0.415879437945051
hB_RNA_16355,0.373677636987921,0.482982446665715,0.143339916346364
hB_RNA_16365,0.340800787003214,0.244829260154477,0.414369952842309
hB_RNA_16375,0.305458781309312,0.139143397054866,0.555397821635822
hB_RNA_16385,0.674986187207046,0.17928375040342,0.145730062389535
hB_RNA_16395,0,0.369501012985868,0.630498987014132
hB_RNA_16405,0.358199564047227,0.385708268131693,0.25609216782108
hB_RNA_16415,0.516640666242447,0.281932912419618,0.201426421337935
hB_RNA_16425,0.479153279258065,0.385210891760032,0.135635828981903
hB_RNA_16435,0.304569458739705,0.37506461618337,0.320365925076925
hB_RNA_16445,0.445989394149176,0.38795042541112,0.166060180439704
