specimenID,Neurons,Astrocytes,Oligodendrocytes,Microglia
hB_RNA_17155,0.128499242,0.230281806,0.501202781,0.047244709
hB_RNA_20672,0.159871757,0.246238936,0.406865573,0.049687746
hB_RNA_16965_E009C189,0.213210182,0.235073119,0.325789975,0.058300264
hB_RNA_4398_E007C014,0.124083453,0.31861569,0.358797814,0.036533141
hB_RNA_4761_L43C014,0.577884721,0.141230412,0.138954056,0.029480587
hB_RNA_4774_L43C014,0.451544659,0.181493583,0.259233178,0.030126737
hB_RNA_4791_L43C014,0.389086515,0.207429806,0.234059806,0.057147949
hB_RNA_4862_L43C014,0.404568329,0.134139066,0.369850403,0.024221289
hB_RNA_4881_L43C014,0.377021693,0.202264646,0.303045596,0.025900221
hB_RNA_4951_L43C014,0.519353682,0.158151201,0.206919093,0.021961985
hB_RNA_4961_L43C014,0.362535463,0.25689424,0.221749361,0.050305955
hB_RNA_4980_L43C014,0.221959948,0.187479595,0.400512664,0.07242827
hB_RNA_5011_L43C014,0.372392699,0.233776317,0.265675197,0.01671274
hB_RNA_8615_B82C014,0.095315101,0.410958207,0.178336852,0.071399402
