,Neurons,Astrocytes,Oligodendrocytes,Microglia
BM_22_95,0.282618796448354,0.222976641799909,0.378430569202657,0.051205930949482
BM_22_96,0.335935515724711,0.252229275335546,0.250143586828304,0.069800052750133
hB_RNA_10262,0.358718261972649,0.209611485493513,0.28734772160993,0.050789444082093
hB_RNA_10282,0.226509890222887,0.226456732785261,0.374768301580555,0.055578122615835
hB_RNA_10292,0.425117054719205,0.189425749208831,0.256543323049622,0.023707081207039
hB_RNA_10332,0.324010197843081,0.178695075326024,0.338401593258135,0.033436372758511
hB_RNA_7665,0.153825255191781,0.196628502735705,0.476554994559365,0.031602502189996
hB_RNA_7675,0.291135778135668,0.244623763320599,0.363008910259386,0.017237636251709
hB_RNA_7685,0.3805687947284,0.200184410003805,0.289273859934248,0.019081929468359
hB_RNA_7705,0.383150361741555,0.286262472327775,0.22130006724617,0.011704302692344
hB_RNA_7715,0.329493498286382,0.224335389616571,0.296547351508248,0.034275561884365
hB_RNA_7745,0.316209811879405,0.1987279281916,0.333666305871766,0.040263168478392
hB_RNA_7775,0.404732991391749,0.189788703971313,0.286144432722668,0.024373997690725
hB_RNA_7795,0.222744116388588,0.267521048287958,0.347382549190945,0.049291365352772
hB_RNA_7815,0.143318556946052,0.242339546933628,0.42579533298101,0.057283289051353
hB_RNA_7865,0.397020609922552,0.146872266657729,0.34258040960073,0.027775754517973
hB_RNA_8015,0.197531845037058,0.311589222348128,0.349699787342701,0.027798528818472
hB_RNA_8055,0.156421732219274,0.214449068073649,0.436957412727155,0.057865761303562
hB_RNA_8115,0.328405980627533,0.243641864275508,0.250112091384898,0.043336183240615
hB_RNA_9138,0.296458121405112,0.267100450944477,0.262879419975028,0.036183662229723
hB_RNA_9142,0.480662529920367,0.169712982378594,0.231998009944257,0.021081725763324
hB_RNA_9143,0.208957393227845,0.196410456718387,0.47241131291237,0.044129886640759
hB_RNA_9146,0.383568604957716,0.186725868436272,0.302238002088066,0.027117466023707
hB_RNA_9148,0.172870581783105,0.239062889534691,0.407182743549284,0.062948126557032
hB_RNA_9149,0.137356240826759,0.321244148765476,0.361198809968541,0.040093663667326
hB_RNA_9150,0.236650320683083,0.23527896570817,0.380381374730988,0.053087832618382
hB_RNA_9153,0.145180934242558,0.209465868617791,0.511710276590891,0.043130885017481
hB_RNA_9155,0.392848229943619,0.181219373246098,0.272224236050227,0.046221001230463
hB_RNA_9156,0.207390257009927,0.28762507113901,0.30901961149149,0.040589488528077
hB_RNA_9160,0.12562416401489,0.245376749638842,0.503970530899284,0.047749758985729
hB_RNA_9161,0.308202602857686,0.25788212721932,0.290437149041654,0.023580907059873
hB_RNA_9177,0.310055563785907,0.191125445070213,0.340837863152995,0.057277439960673
hB_RNA_9179,0.261888953676431,0.21958319682672,0.351528944721636,0.068453483826319
hB_RNA_9193,0.420499922833555,0.116297420069825,0.304123186931177,0.027036076265364
hB_RNA_9195,0.391275145563667,0.154713495961546,0.361190879099988,0.02130912683038
hB_RNA_9196,0.141883373411759,0.213704395567695,0.43272621607204,0.059384934464666
hB_RNA_9203,0.356543405577391,0.189490761839183,0.296335199792081,0.038194100242018
hB_RNA_9204,0.347709450744711,0.180024790128991,0.352449727706244,0.030442791069053
hB_RNA_9205,0.246993660764094,0.269609278532509,0.311414421811097,0.052225938818843
hB_RNA_9211,0.150101154189193,0.186972703827853,0.526955322028719,0.031082323778465
hB_RNA_9212,0.279305079589677,0.274842437800382,0.279102424213268,0.046459090971275
hB_RNA_9214,0.176254270770045,0.246458912965298,0.423090450433533,0.030147912150215
hB_RNA_9217,0.165746544412471,0.237966267787912,0.409994275626933,0.053131542103925
hB_RNA_9219,0.191237081085056,0.323159229192359,0.292936763653874,0.02959475337331
hB_RNA_9221,0.145692224357883,0.296899158685479,0.317847304145789,0.049337213898938
hB_RNA_9154,0.367746882382184,0.204583226508508,0.275828439435692,0.035630696943331
hB_RNA_10232_resequenced,0.11548030385784,0.149894057920552,0.638677010038736,0.021107756366455
hB_RNA_10252_resequenced,0.457414485177272,0.18186939195482,0.225356548403835,0.03611415167559
hB_RNA_12191_resequenced,0.440386902259506,0.192307749222471,0.209996233884493,0.03176658415045
hB_RNA_7765_resequenced,0.49287775042943,0.171871063910807,0.20326581556584,0.040597653448184
hB_RNA_8155_resequenced,0.130874351040718,0.257788655349144,0.461663385902679,0.023802741139511
hB_RNA_9166_L43C014,0.141035460520559,0.209171246469271,0.476899169201988,0.030307322389377
hB_RNA_9178_L43C014,0.257708796182177,0.190506735024366,0.414726685482483,0.039813047167109
hB_RNA_9180_L43C014,0.296932088757002,0.19384682032065,0.39736313912834,0.027924796617401
